,,GSM596123,GSM596124,GSM596127,GSM596128,GSM596131,GSM596132,GSM596125,GSM596126,GSM596129,GSM596130,GSM596133,GSM596134
AT1G05575,[ AT1G05575 / P: involved in anaerobic respiration / Publication:501735895 ][ AT1G05575 / F: has molecular_function / Communication:501683652 ][ AT1G05575 / P: involved in respiratory burst involved in defense response / Publication:501748728 ][ AT1G05575 / P: involved in ethylene mediated signaling pathway / Publication:501748728 ],3.949586909,3.924774443,4.446349821,4.519134011,4.040338428,3.23096068,3.654688655,3.617243271,5.035269544,4.57438098,3.398316376,3.299724207
AT1G06620, encodes a protein whose sequence is similar to a 2-oxoglutarate-dependent dioxygenase - [ AT1G06620 / P: involved in hyperosmotic salinity response / Publication:501748728 ][ AT1G06620 / P: involved in response to water deprivation / Publication:501748728 ][ AT1G06620.1 / P: involved in oxidation-reduction process / AnalysisReference:501748310 ],4.662019894,4.494763736,4.657632101,5.093865732,4.597200561,3.49844246,4.851752617,4.64051082,4.219608783,4.36910676,3.608057711,4.613159845
AT1G07000, A member of EXO70 gene family  putative exocyst subunits  conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes  which can be classified into eight clusters on the phylogenetic tree. - [ AT1G07000 / P: involved in salicylic acid biosynthetic process / Publication:501748728 ][ AT1G07000 / P: involved in salicylic acid mediated signaling pathway / Publication:501748728 ][ AT1G07000 / C: located in cytosol / Publication:501735496 ][ AT1G07000 / C: located in cell / AnalysisReference:501748310 ],6.942038906,7.029532057,7.322770685,7.867079041,6.150422535,5.135393449,6.560769526,6.490932479,7.559148146,7.306042125,5.164321884,6.329971416
AT1G07630, Encodes a protein phosphatase 2C  like gene  similar to POL. Involved in leaf development. Knockout mutants have abnormally shaped leaves. - [ AT1G07630 / P: involved in negative regulation of defense response / Publication:501748728 ][ AT1G07630.1 / P: has protein modification of type N-terminal protein myristoylation / Publication:501710157 ][ AT1G07630 / P: involved in systemic acquired resistance  salicylic acid mediated signaling pathway / Publication:501748728 ],5.563810329,5.690354961,5.49117509,5.42184949,4.462530425,4.778482072,5.4767396,5.687999868,6.398593743,5.882486705,5.452772818,5.318085955
AT1G07650,[ AT1G07650 / P: involved in protein phosphorylation / Communication:501714663 ][ AT1G07650 / F: has kinase activity / Communication:1674994 ][ AT1G07650.2 / F: has protein kinase activity / AnalysisReference:501748310 ][ AT1G07650.2 / F: has protein serine/threonine kinase activity / AnalysisReference:501748310 ],8.121109865,8.375446698,8.547466755,8.365079089,7.201710264,6.688225561,7.888496122,7.827879059,8.413462203,8.550614306,5.92807731,6.990118185
AT1G07890, Encodes a cytosolic ascorbate peroxidase APX1.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1  APX2  APX6)  two chloroplastic types (stromal sAPX  thylakoid tAPX)  and three microsomal (APX3  APX4  APX5) isoforms. At least part of the induction of heat shock proteins during light stress in Arabidopsis is mediated by H2O2 that is scavenged by APX1. Expression of the gene is downregulated in the presence of paraquat - [ AT1G07890.5 / P: involved in response to salt stress / Publication:501723430 ][ AT1G07890.2 / P: involved in response to cadmium ion / Publication:501718481 ][ AT1G07890 / P: involved in response to heat / Publication:501748728 ][ AT1G07890 / P: involved in ubiquitin-dependent protein catabolic process / Publication:501748728 ],10.1906343,10.13118463,10.88796057,11.25352886,10.34218439,10.60841481,10.8045923,10.80881482,10.70638461,10.99986741,11.15307529,10.57637017
AT1G08050,[ AT1G08050 / P: involved in systemic acquired resistance  salicylic acid mediated signaling pathway / Publication:501748728 ][ AT1G08050 / P: involved in systemic acquired resistance / Publication:501748728 ][ AT1G08050 / P: involved in N-terminal protein myristoylation / Publication:501748728 ],3.719695604,4.035478511,4.129897998,4.341958625,3.993703545,3.907522493,3.768761513,3.993815698,4.113787388,4.090971089,3.928106395,4.007513717
AT1G08110,[ AT1G08110.4 / P: involved in response to cadmium ion / Publication:501718481 ][ AT1G08110.3 / C: located in cytosol / Publication:501741191 ][ AT1G08110.2 / F: has lactoylglutathione lyase activity / AnalysisReference:501748310 ][ AT1G08110.1 / C: located in chloroplast / AnalysisReference:501750651 ],9.260297493,9.326347649,9.436061586,9.452674826,8.846125155,8.573945315,9.714236948,9.75855543,9.723629356,9.769140898,9.520475173,9.188401575
AT1G08920, Encodes ESL1  a transporter for monosaccharides. - [ AT1G08920 / P: involved in response to abscisic acid stimulus / Publication:501735479 ][ AT1G08920.1 / P: involved in transport / AnalysisReference:501748310 ][ AT1G08920.3 / P: involved in transmembrane transport / AnalysisReference:501748310 ][ AT1G08920.1 / F: has transmembrane transporter activity / AnalysisReference:501748310 ],7.324713578,7.687356812,7.964951635,8.181561792,7.73856064,5.913537407,8.032165384,7.804863122,7.66482175,7.547416568,8.214471779,8.630684876
AT1G09090, NADPH-oxidase AtrbohB plays a role in seed after-ripening. Major producer of superoxide in germinating seeds. AtrbohB  pre-mRNA is alternatively spliced in seeds in a hormonally and developmentally  regulated manner. ABA caused accumulation of AtrbohB- mRNA and prevented prevented AtrbohB-a mRNA expression in fresh seeds. - [ AT1G09090.2 / C: located in membrane / AnalysisReference:501748310 ][ AT1G09090.1 / F: has peroxidase activity / AnalysisReference:501748310 ][ AT1G09090.2 / F: has flavin adenine dinucleotide binding / AnalysisReference:501748310 ][ AT1G09090.1 / C: located in integral to membrane / AnalysisReference:501748310 ],3.263417001,3.268244664,3.619843406,3.439844875,3.311973687,3.237384197,3.133731393,3.349216649,3.612257157,3.44894224,3.308717328,3.478321735
AT1G09210, Encodes one of three Arabidopsis calreticulins. - [ AT1G09210.1 / F: has unfolded protein binding / AnalysisReference:501748310 ][ AT1G09210 / P: involved in response to high light intensity / Publication:501748728 ][ AT1G09210 / C: located in mitochondrion / Publication:501682846 ][ AT1G09210 / P: involved in response to heat / Publication:501748728 ],8.969848275,9.070549919,9.22991497,9.162057167,8.86310248,9.105140068,8.952531257,9.015982673,8.949709501,9.079478662,7.274837179,7.728319514
AT1G09970, RLK7 belongs to a leucine-rich repeat class of receptor-likekinase (LRR-RLKs). It is involved in the control of germination speed and the tolerance to oxidant stress. - [ AT1G09970 / P: involved in systemic acquired resistance / Publication:501748728 ][ AT1G09970 / P: involved in N-terminal protein myristoylation / Publication:501748728 ][ AT1G09970.1 / P: involved in protein phosphorylation / AnalysisReference:501748310 ],8.693621663,8.821666066,9.407538569,9.896580122,8.655547202,6.021241736,8.623914946,8.079395253,8.791633916,8.976455716,7.690908775,8.411882429
AT1G10480, Encodes a zinc finger protein containing only a single zinc finger. - [ AT1G10480 / P: involved in regulation of transcription  DNA-dependent / Publication:1345963 ][ AT1G10480.1 / C: located in nucleus / AnalysisReference:501750651 ][ AT1G10480.1 / C: located in intracellular / AnalysisReference:501748310 ][ AT1G10480 / P: involved in cell wall macromolecule metabolic process / Publication:501748728 ],3.666266746,3.776656406,3.993751899,3.885477107,3.666408665,3.708212357,3.75042875,3.819755138,3.898553593,4.034455941,3.775040982,3.452002123
AT1G10670, One of the three genes encoding subunit A of the trimeric protein ATP Citrate Lyase.  Antisense ACLA-1 plants cause a reduction in cytosolic acetyl-CoA metabolism and have upregulation of stress-related genes and down-regulation of primary metabolism and growth genes  suggesting the mutation restricts normal growth and developmental processes and puts the plant into a state of stress. - [ AT1G10670.1 / C: located in cytoplasm / AnalysisReference:501750651 ][ AT1G10670 / P: involved in acetyl-CoA biosynthetic process / Publication:501682643 ][ AT1G10670 / P: involved in wax biosynthetic process / Publication:501714433 ][ AT1G10670 / P: involved in starch biosynthetic process / Publication:501714433 ],9.733886471,9.751092791,9.609198867,9.531246077,9.373474307,9.682299801,9.739966473,9.818317667,9.502918869,9.500120459,9.472363111,9.17889783
AT1G10760, Encodes an &#945;-glucan  water dikinase required for starch degradation. Involved  in cold-induced freezing tolerance. Mutations that eliminate the GWD protein or affect the dikinase domain of the enzyme dramatically reduce both the amount of phosphate in the amylopectin and the rate of starch degradation. Mature leaves of these mutants accumulate amounts of starch up to seven times greater than those in wild-type leaves. NMR analysis of the mutants  suggests that the gene is specifically involved in the phosphorylation of the glucosyl residues of starch at the C6 position. - [ AT1G10760 / F: functions in protein binding / Publication:501730377 ][ AT1G10760.1 / C: located in chloroplast stroma / Publication:501727324 ][ AT1G10760 / P: involved in starch catabolic process / Publication:501735335 ][ AT1G10760.1 / C: located in chloroplast envelope / Publication:501710686 ],11.77010299,11.94638561,11.04747049,11.12595424,11.30926109,9.603277847,11.93470799,11.96400246,10.97545875,11.43062259,9.597286268,11.38445418
AT1G10960,[ AT1G10960.1 / C: located in chloroplast / AnalysisReference:501750651 ][ AT1G10960.1 / F: has electron carrier activity / AnalysisReference:501748310 ][ AT1G10960 / P: involved in abscisic acid biosynthetic process / Publication:501748728 ][ AT1G10960.1 / C: located in chloroplast stroma / Publication:501727324 ],10.09804453,9.931612933,10.34907179,10.30934182,10.17946815,11.27399663,9.942100803,10.01349116,9.295053929,10.01829728,10.3097939,8.744703279
AT1G11210,[ AT1G11210 / P: involved in response to water deprivation / Publication:501748728 ][ AT1G11210 / F: has molecular_function / Communication:501683652 ][ AT1G11210 / P: involved in response to oxidative stress / Publication:501727372 ][ AT1G11210 / P: involved in response to cold / Publication:501748728 ],6.912305554,7.10314478,6.442412212,7.017183679,7.088522575,4.465729965,7.418614062,7.271884561,7.885515005,7.398325299,6.57658292,9.437596184
AT1G11580,[ AT1G11580.1 / F: has pectinesterase activity / AnalysisReference:501748310 ][ AT1G11580.1 / P: involved in cell wall modification / AnalysisReference:501748310 ][ AT1G11580 / P: involved in plant-type cell wall cellulose metabolic process / Publication:501748728 ],7.185316878,7.078997097,7.920439895,8.288726149,7.134923719,6.083258755,7.476301912,6.929500257,6.768965052,7.001986956,4.375945804,6.721473218
AT1G11860,[ AT1G11860.2 / C: located in cytosolic ribosome / Publication:501714975 ][ AT1G11860.1 / C: located in cytoplasm / AnalysisReference:501748310 ][ AT1G11860.2 / C: located in cytosolic ribosome / Publication:501714975 ][ AT1G11860.1 / C: located in chloroplast thylakoid / Publication:501735990 ],11.13667682,10.94061421,10.86536769,10.90062763,10.80395814,11.30811455,10.64824146,10.91014386,10.26386949,10.83966874,9.184437772,8.239726347
AT1G12110, Encodes NRT1.1 (CHL1)  a dual-affinity nitrate transporter. The protein is expressed in guard cells and function in stomatal opening. Mutants have less transpiration and are more tolerant to drought. Expressed in lateral roots. Involved in nitrate signaling which enables the plant root system to detect and exploit nitrate-rich soil patches. Comparing to the wild type  the mutant displays a strongly decreased lateral root proliferation phenotype in nitrate rich patches on growth medium. - [ AT1G12110 / P: involved in sterol biosynthetic process / Publication:501748728 ][ AT1G12110 / P: involved in plant-type cell wall cellulose metabolic process / Publication:501748728 ][ AT1G12110.1 / C: located in plasma membrane / AnalysisReference:501750651 ],8.419263421,8.636091221,8.67726852,8.820287463,6.876067832,7.677559201,8.37853072,8.61262894,8.707508136,8.791773307,6.760777994,5.58004101
AT1G12610, Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (DDF1). The protein contains one AP2 domain. There are six members in this subfamily  including CBF1  CBF2  and CBF3. Overexpression of this gene results in delayed flowering and dwarfism  reduction of gibberellic acid biosynthesis  and increased tolerance to high levels of salt. This gene is expressed in all tissues examined  but most abundantly expressed in upper stems. Overexpression of this gene is also correlated with increased expression of GA biosynthetic genes and RD29A (a cold and drought responsive gene). Under salt stress it induces the expression of GAOX7  which encodes ad C20-GA inhibitor. - [ AT1G12610 / P: involved in response to heat / Publication:501742094 ][ AT1G12610.1 / P: involved in regulation of transcription  DNA-dependent / AnalysisReference:501748310 ][ AT1G12610.1 / P: involved in regulation of transcription  DNA-dependent / AnalysisReference:501748310 ],3.248719402,3.18746483,4.515235969,6.324637761,5.134627414,3.422607041,3.536715471,3.515069487,4.03463085,4.024963021,4.442469867,5.589687176
AT1G12663,[ AT1G12663.1 / C: located in extracellular region / AnalysisReference:501750651 ][ AT1G12663 / P: involved in defense response / Publication:501727561 ],3.749769654,3.688460012,4.450176701,4.030190062,3.679753514,3.648771348,3.917007152,3.690381731,4.460913508,3.983070519,3.463819575,3.493244875
AT1G12860, Encodes ICE2 (Inducer of CBF Expression 2)  a transcription factor of the bHLH family that participates in the response to deep freezing through the cold acclimation-dependent pathway.  Overexpression of ICE2 results in increased tolerance to deep freezing stress after cold acclimation. - [ AT1G12860 / P: involved in response to freezing / Publication:501729093 ][ AT1G12860 / P: involved in regulation of transcription  DNA-dependent / Publication:1345963 ][ AT1G12860 / P: involved in response to freezing / Publication:501729093 ][ AT1G12860.1 / C: located in nucleus / AnalysisReference:501750651 ],8.232477063,8.136783301,7.79440805,7.630633113,6.840469649,7.292477284,8.054938058,8.031748541,7.490673912,7.839792708,6.147053578,6.652284693
AT1G13080, cytochrome P450 monooxygenase - [ AT1G13080.2 / F: has oxidoreductase activity  acting on paired donors  with incorporation or reduction of molecular oxygen / AnalysisReference:501748310 ][ AT1G13080.1 / F: has heme binding / AnalysisReference:501748310 ][ AT1G13080.1 / F: has oxidoreductase activity  acting on paired donors  with incorporation or reduction of molecular oxygen / AnalysisReference:501748310 ],6.284156562,6.546261199,6.467314993,6.375470609,4.771591828,6.805414572,6.352258011,6.481952995,7.366512279,7.103605424,7.605684087,5.345457554
AT1G13180, Mutant has defect in trichome cell expansion and  actin organization resulting in a distorted trichome phenotype. - [ AT1G13180.1 / F: has ATP binding / AnalysisReference:501748310 ][ AT1G13180 / P: involved in actin nucleation / Publication:501748728 ][ AT1G13180.1 / F: has ATP binding / AnalysisReference:501748310 ][ AT1G13180 / P: involved in trichome morphogenesis / Publication:501675801 ],6.788520888,6.773866756,6.593033606,6.382584542,6.070639134,6.400330778,6.594410179,6.69420831,6.595801865,6.33613184,5.229891881,6.010908417
AT1G13210,[ AT1G13210.1 / C: located in integral to membrane / AnalysisReference:501748310 ][ AT1G13210.1 / F: has ATPase activity  coupled to transmembrane movement of ions  phosphorylative mechanism / AnalysisReference:501748310 ][ AT1G13210.1 / F: has hydrolase activity  acting on acid anhydrides  catalyzing transmembrane movement of substances / AnalysisReference:501748310 ],7.087474854,7.201259593,7.05676085,7.179062139,6.773660435,5.581392441,6.718802467,6.808804987,7.811631189,7.169957847,4.901793281,6.162549966
AT1G13320, one of three genes encoding the 65 kDa regulatory subunit of protein phosphatase 2A (PP2A) - [ AT1G13320 / P: involved in regulation of phosphorylation / Publication:4682 ][ AT1G13320 / P: involved in N-terminal protein myristoylation / Publication:501748728 ][ AT1G13320.2 / C: located in cell wall / Publication:501718077 ][ AT1G13320 / C: is subunit of protein phosphatase type 2A complex / Publication:4682 ],8.123461467,8.106464903,7.982893836,7.950264283,7.720503032,7.896616482,8.304494252,8.31406164,8.176858671,7.945793965,7.966733746,7.438262887
AT1G13440,[ AT1G13440 / P: involved in glycolysis / Communication:501714663 ][ AT1G13440.2 / C: located in membrane / Publication:501721401 ][ AT1G13440 / C: located in mitochondrion / Publication:501682846 ][ AT1G13440.1 / C: located in cytosol / Publication:501741191 ],11.52556219,11.45021257,11.41205162,11.38516258,11.19467438,11.7966958,11.32580511,11.39385686,11.47198904,11.43572518,11.35709217,11.02226033
AT1G13470,[ AT1G13470 / P: involved in MAPK cascade / Publication:501748728 ][ AT1G13470 / P: involved in defense response to fungus / Publication:501748728 ][ AT1G13470 / P: involved in systemic acquired resistance  salicylic acid mediated signaling pathway / Publication:501748728 ],3.349528723,3.501801278,3.721808621,4.401378073,3.500797376,3.065981861,3.132693083,3.193175361,4.087652666,3.51368415,3.195378531,3.506929061
AT1G14000, Encodes a protein with similarity to members of the C1 subgroup of MAP kinase kinase kinases. Interacts physically with the receptor kinase BRL2/VH1 and appears to be involved in auxin and brassinosteriod signaling. - [ AT1G14000 / P: involved in hyperosmotic salinity response / Publication:501748728 ][ AT1G14000.1 / F: has ATP binding / AnalysisReference:501748310 ][ AT1G14000 / P: involved in jasmonic acid mediated signaling pathway / Publication:501748728 ][ AT1G14000 / P: involved in negative regulation of programmed cell death / Publication:501748728 ],8.378309987,8.279414506,8.369047238,8.464934341,7.667075911,7.932250117,8.469985478,8.192965661,8.212070099,8.147436517,8.028959391,7.353638761
AT1G14790, Encodes RNA-dependent RNA polymerase.   While not required for virus-induced post-transcriptional gene silencing (PTGS)  it can promote turnover of viral RNAs in infected plants. Nomenclature according to Xie  et al. (2004). Involved in the production of Cucumber Mosaic Virus siRNAs. - [ AT1G14790 / P: involved in response to virus / Publication:501683523 ][ AT1G14790 / P: involved in jasmonic acid mediated signaling pathway / Publication:501748728 ][ AT1G14790 / P: involved in posttranscriptional gene silencing / Communication:501714663 ],5.41432377,5.737858946,5.667655539,5.87432769,4.679416861,4.294832062,5.810146059,5.26724069,6.105270737,6.114885462,4.089346224,4.732145604
AT1G14960,[ AT1G14960.1 / P: involved in defense response / AnalysisReference:501748310 ][ AT1G14960 / P: involved in sterol biosynthetic process / Publication:501748728 ][ AT1G14960.1 / C: located in nucleus / AnalysisReference:501750651 ][ AT1G14960 / F: has molecular_function / Communication:501683652 ],4.269917292,4.311892248,4.335638715,4.341439588,3.932409863,3.762603986,4.387100971,4.534691124,4.433276906,4.343768127,3.842211869,4.056435921
AT1G15690, Encodes a H(+)-translocating (pyrophosphate-energized) inorganic pyrophosphatase (H(+)-PPase; EC 3.6.1.1) located in the vacuolar membrane. Expression is found in all tissues examined  including meristems and floral organ primordium. Expression is particularly enhanced in pollen  and is repressed by light. Over expression and loss of function phenotypes suggest AVP1 is involved in regulation of apoplastic pH and auxin transport. The effect on auxin transport likely involves effects of extracellular pH on subcellular localization of auxin efflux carriers such as PIN1. - [ AT1G15690.1 / F: has hydrogen-translocating pyrophosphatase activity / AnalysisReference:501748310 ][ AT1G15690 / C: located in vacuole / Publication:501750648 ][ AT1G15690.2 / C: located in membrane / Publication:501721401 ][ AT1G15690.1 / C: located in vacuole / Publication:501711987 ],11.25135227,11.24419798,10.9993077,10.80675051,10.58079841,11.05555022,11.05016119,11.34897034,10.93091249,10.98927513,10.49523043,9.794917891
AT1G16150, Encodes a cell-wall associated kinase like protein of the receptor-like kinase (RLK) superfamily.  Likely involved in Arabidopsis root mineral responses to Zn2+  Cu2+  K+  Na+ and Ni+. - [ AT1G16150 / P: involved in response to nickel cation / Publication:501718081 ][ AT1G16150.1 / P: involved in protein phosphorylation / AnalysisReference:501748310 ][ AT1G16150.1 / F: has ATP binding / AnalysisReference:501748310 ][ AT1G16150.1 / F: has transferase activity  transferring phosphorus-containing groups / AnalysisReference:501748310 ],3.607581062,3.529199903,3.741743097,3.910068712,3.388784099,3.595688562,3.717881762,3.580031686,3.756665063,3.862750833,3.565101465,3.607358479
AT1G16370,[ AT1G16370 / P: involved in cellular response to salt stress / Publication:501732671 ][ AT1G16370.1 / F: has transmembrane transporter activity / AnalysisReference:501748310 ][ AT1G16370.1 / C: located in plasma membrane / AnalysisReference:501750651 ][ AT1G16370 / F: has sugar:hydrogen symporter activity / Communication:501714663 ],4.524393893,4.64331242,5.378895928,6.21952947,4.528565021,4.255514561,4.723614826,4.473213186,4.754215751,4.526309748,4.182392731,4.430096037
AT1G16460, encodes a cytoplasmic thiosulfate:cyanide sulfurtransferase  activity of which increased the rhodanese activity of transgenic yeast.  Can also act as a mercaptopyruvate sulfurtransferase. - [ AT1G16460.2 / C: located in mitochondrion / AnalysisReference:501750651 ][ AT1G16460.2 / F: has thiosulfate sulfurtransferase activity / AnalysisReference:501748310 ][ AT1G16460 / P: involved in embryo development ending in seed dormancy / Publication:501741111 ],8.791909431,8.770108608,8.547379273,8.719739388,8.378451291,7.848091411,8.852253111,8.885394378,8.529323267,8.847011562,7.943592435,8.235094045
AT1G16510,[ AT1G16510 / P: involved in cell growth / Publication:501753734 ][ AT1G16510 / F: has molecular_function / Communication:1345790 ][ AT1G16510 / P: involved in response to auxin stimulus / Communication:501714663 ][ AT1G16510 / C: located in cytoplasm / Publication:501753734 ],5.846016375,5.834819488,6.180176137,5.997370959,5.403503303,5.143128637,5.696120764,6.202514941,6.548527202,5.754969148,5.84050694,5.920336773
